city_code,ciiu4n4,type,year_prev,year_current
11308.0,F4329,New,2007,2008
11308.0,G4652,New,2007,2008
11308.0,G4661,New,2007,2008
11308.0,G4690,New,2007,2008
11308.0,H4922,New,2007,2008
11308.0,S9420,New,2007,2008
11308.0,S9601,New,2007,2008
11308.0,S9603,New,2007,2008
11310.0,S9491,New,2007,2008
11311.0,P8522,New,2007,2008
11312.0,A0161,New,2007,2008
11312.0,F4210,New,2007,2008
11312.0,S9491,New,2007,2008
11313.0,S9491,New,2007,2008
11313.0,S9609,New,2007,2008
11314.0,A0122,New,2007,2008
11314.0,C1101,New,2007,2008
11314.0,F4390,New,2007,2008
11314.0,P8522,New,2007,2008
11314.0,Q8620,New,2007,2008
11314.0,Q8730,New,2007,2008
11316.0,A0127,New,2007,2008
11316.0,P8510,New,2007,2008
11317.0,E3600,New,2007,2008
11317.0,F4390,New,2007,2008
11317.0,G4772,New,2007,2008
11319.0,H5021,New,2007,2008
11319.0,O8413,New,2007,2008
11320.0,A0126,New,2007,2008
11320.0,A0321,New,2007,2008
11320.0,P8522,New,2007,2008
11322.0,A0312,New,2007,2008
11322.0,S9420,New,2007,2008
12401.0,A0321,New,2007,2008
12401.0,F4100,New,2007,2008
12401.0,G4730,New,2007,2008
12401.0,I5510,New,2007,2008
12401.0,M7110,New,2007,2008
12401.0,O8423,New,2007,2008
12401.0,Q8620,New,2007,2008
12401.0,S9420,New,2007,2008
12402.0,C1010,New,2007,2008
12402.0,F4100,New,2007,2008
12402.0,G4630,New,2007,2008
12402.0,G4641,New,2007,2008
12402.0,H4922,New,2007,2008
12402.0,N8010,New,2007,2008
12402.0,O8411,New,2007,2008
12402.0,O8430,New,2007,2008
12402.0,Q8620,New,2007,2008
12402.0,S9491,New,2007,2008
12403.0,C2511,New,2007,2008
12403.0,G4669,New,2007,2008
12403.0,Q8620,New,2007,2008
20101.0,C3250,New,2007,2008
20101.0,G4649,New,2007,2008
20101.0,H4922,New,2007,2008
20101.0,J5811,New,2007,2008
20101.0,N8020,New,2007,2008
20101.0,Q8620,New,2007,2008
20101.0,Q8690,New,2007,2008
20102.0,E3811,New,2007,2008
20102.0,H4922,New,2007,2008
20102.0,K6419,New,2007,2008
20103.0,F4100,New,2007,2008
20103.0,S9491,New,2007,2008
20104.0,H5221,New,2007,2008
20106.0,B0729,New,2007,2008
20107.0,Q8810,New,2007,2008
20108.0,G4663,New,2007,2008
20108.0,H4921,New,2007,2008
20108.0,H4922,New,2007,2008
20108.0,H4923,New,2007,2008
20109.0,Q8890,New,2007,2008
20111.0,H5221,New,2007,2008
20113.0,Q8730,New,2007,2008
20115.0,B0721,New,2007,2008
20115.0,O8412,New,2007,2008
20201.0,D3510,New,2007,2008
20201.0,O8411,New,2007,2008
20201.0,O8412,New,2007,2008
20201.0,O8421,New,2007,2008
20201.0,O8423,New,2007,2008
20201.0,P8510,New,2007,2008
20201.0,P8522,New,2007,2008
20201.0,P8530,New,2007,2008
20201.0,Q8610,New,2007,2008
20201.0,R9000,New,2007,2008
20201.0,S9420,New,2007,2008
20201.0,U9900,New,2007,2008
20203.0,P8522,New,2007,2008
20204.0,H4923,New,2007,2008
20204.0,M7020,New,2007,2008
20204.0,S9499,New,2007,2008
20206.0,H4921,New,2007,2008
20301.0,O8413,New,2007,2008
20301.0,Q8620,New,2007,2008
20301.0,Q8810,New,2007,2008
20301.0,R9329,New,2007,2008
20301.0,S9491,New,2007,2008
20302.0,C1629,New,2007,2008
20302.0,H4922,New,2007,2008
20302.0,S9411,New,2007,2008
20302.0,S9491,New,2007,2008
20302.0,S9499,New,2007,2008
20303.0,P8541,New,2007,2008
20304.0,A0150,New,2007,2008
20304.0,C1061,New,2007,2008
20304.0,C1071,New,2007,2008
20304.0,N7730,New,2007,2008
20304.0,O8411,New,2007,2008
20305.0,Q8730,New,2007,2008
20306.0,A0119,New,2007,2008
20306.0,H4923,New,2007,2008
20306.0,Q8810,New,2007,2008
20307.0,G4669,New,2007,2008
20307.0,S9411,New,2007,2008
20307.0,S9420,New,2007,2008
20401.0,A0161,New,2007,2008
20401.0,F4100,New,2007,2008
20401.0,F4220,New,2007,2008
20401.0,F4290,New,2007,2008
20401.0,H4922,New,2007,2008
20401.0,S9491,New,2007,2008
20402.0,Q8890,New,2007,2008
20403.0,G4669,New,2007,2008
20403.0,H4921,New,2007,2008
20403.0,S9420,New,2007,2008
20404.0,H4922,New,2007,2008
20405.0,Q8810,New,2007,2008
20405.0,S9420,New,2007,2008
20406.0,H4922,New,2007,2008
20406.0,S9420,New,2007,2008
20406.0,S9499,New,2007,2008
20501.0,A0150,New,2007,2008
20501.0,C3240,New,2007,2008
20501.0,H5120,New,2007,2008
20501.0,Q8730,New,2007,2008
20501.0,S9491,New,2007,2008
20502.0,G4663,New,2007,2008
20503.0,K6419,New,2007,2008
20503.0,S9420,New,2007,2008
20503.0,S9491,New,2007,2008
20504.0,A0150,New,2007,2008
